ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,Recency,NumWebVisitsMonth,Response,Complain
7373,1952,PhD,Divorced,46610.0,0,2,96,96,33,22,43,4,6,1,8,6,1,0
8755,1946,Master,Married,68657.0,0,0,482,471,119,68,22,3,9,5,4,7,0,0
10738,1951,Master,Single,49389.0,1,1,40,19,2,1,3,2,3,0,55,7,0,0
4339,1970,PhD,Married,67353.0,0,1,702,151,0,8,35,5,12,6,37,2,0,0
10755,1976,2n Cycle,Married,23718.0,1,0,6,14,15,7,36,3,2,1,76,7,0,0
8595,1973,Graduation,Widow,42429.0,0,1,55,6,2,0,4,1,3,1,99,5,0,0
2968,1943,PhD,Divorced,48948.0,0,0,437,206,160,49,42,7,5,10,53,6,1,0
8601,1980,Graduation,Married,80011.0,0,1,421,536,82,178,102,8,5,6,3,4,0,0
503,1985,Master,Married,20559.0,1,0,13,29,3,0,7,2,3,0,88,8,0,0
8430,1957,Graduation,Together,21994.0,0,1,9,6,3,1,3,0,3,0,4,5,0,0
7281,1959,PhD,Single,,0,0,81,50,3,2,39,1,4,3,80,2,0,0
2139,1975,Master,Married,7500.0,1,0,3,10,3,2,12,2,3,0,19,5,0,0
1371,1976,Graduation,Single,79941.0,0,0,123,266,227,30,174,2,9,4,72,1,0,0
9909,1996,2n Cycle,Married,7500.0,0,0,3,14,15,22,50,3,3,1,24,9,1,0
7286,1968,Graduation,Together,41728.0,1,0,13,15,3,5,13,2,2,0,92,10,0,0
7244,1951,Graduation,Single,,2,1,48,48,6,10,7,2,4,1,96,6,0,0
6566,1954,PhD,Married,72550.0,1,1,826,317,50,38,38,5,12,2,39,8,0,0
8614,1957,Graduation,Widow,65486.0,0,1,245,125,37,67,14,4,10,2,29,2,0,0
4114,1964,Master,Married,79143.0,0,0,650,780,27,167,32,6,13,9,2,3,0,0
1331,1977,Graduation,Single,35790.0,1,0,12,20,30,1,3,2,3,0,54,7,0,0
2225,1977,Graduation,Divorced,82582.0,0,0,510,550,156,40,241,4,7,9,54,1,1,0
9381,1978,Graduation,Married,66373.0,1,1,328,124,12,24,109,4,10,2,57,3,0,0
6260,1955,Master,Together,82384.0,0,0,984,432,180,120,190,3,13,10,55,1,1,0
10383,1966,Graduation,Divorced,70287.0,0,0,295,482,121,120,40,5,10,5,30,3,1,0
7437,1988,Graduation,Single,27938.0,1,0,13,8,2,1,5,1,4,0,31,3,0,0
8557,1982,Graduation,Single,,1,0,11,22,2,2,6,2,3,0,57,6,0,0
8375,1968,PhD,Married,55954.0,0,1,447,28,0,0,43,8,6,2,63,7,0,0
6853,1982,Master,Single,75777.0,0,0,712,538,69,13,80,3,11,6,12,1,1,0
3076,1975,Graduation,Together,66653.0,1,1,452,102,16,18,6,4,12,2,18,3,0,0
1012,1952,Graduation,Single,61823.0,0,1,523,134,37,14,169,8,10,2,26,7,0,0
6518,1951,PhD,Widow,67680.0,0,1,546,48,0,6,6,7,8,3,8,5,0,0
4137,1948,Graduation,Together,70666.0,0,0,398,367,119,122,30,7,4,4,29,4,0,0
8082,1971,Graduation,Married,25721.0,1,0,1,6,3,6,15,1,2,1,75,7,1,0
1386,1967,Graduation,Together,32474.0,1,1,10,1,0,0,0,1,2,0,0,7,0,0
9369,1979,2n Cycle,Single,88194.0,0,1,688,309,201,24,38,11,10,10,19,5,1,0
4477,1958,Graduation,Together,69096.0,0,1,247,159,7,82,109,5,10,2,4,4,0,0
1357,1970,Graduation,Together,74854.0,1,2,856,487,58,29,73,2,5,5,90,5,0,0
1402,1954,Master,Married,66991.0,0,0,496,460,189,60,12,4,6,8,1,3,0,0
10629,1973,2n Cycle,Married,,1,0,25,43,17,4,17,3,3,0,25,8,0,0
6312,1959,Graduation,Married,65031.0,0,1,258,291,84,37,86,10,13,3,29,7,0,0
8132,1975,PhD,Married,60631.0,1,1,565,65,0,6,19,9,8,2,88,7,0,0
1050,1952,Graduation,Married,28332.0,0,0,14,13,4,15,9,2,4,1,58,2,0,0
5846,1977,Graduation,Divorced,40246.0,1,0,2,6,2,1,1,1,2,0,68,6,0,0
1859,1972,Master,Married,75251.0,0,0,721,925,97,18,18,7,5,6,34,5,1,0
7503,1976,Graduation,Single,75825.0,0,0,1032,779,137,105,51,5,9,8,40,4,1,0
10401,1976,2n Cycle,Together,26326.0,0,0,1,5,0,3,9,0,3,0,12,3,0,1
1618,1965,Graduation,Together,56046.0,0,0,577,64,0,0,51,10,8,1,9,8,1,0
3332,1985,Graduation,Single,29760.0,1,0,64,68,7,5,17,3,4,1,87,8,0,0
2261,1969,Graduation,Married,26304.0,1,0,4,5,2,0,4,1,2,0,5,7,0,0
5346,1973,2n Cycle,Married,23559.0,1,0,25,19,7,0,23,3,3,0,87,7,0,0
4119,1963,Master,Together,38620.0,0,0,112,44,34,22,89,2,3,5,56,3,0,0
535,1987,Graduation,Divorced,81361.0,0,0,163,424,27,65,76,3,13,10,18,1,0,0
5268,1960,Graduation,Married,29440.0,1,1,17,14,10,4,3,1,4,0,95,7,0,0
273,1970,Master,Married,36138.0,1,1,130,16,0,0,5,3,4,1,48,7,0,0
4452,1957,Graduation,Single,50388.0,0,1,292,37,0,3,34,6,6,1,3,7,1,0
8504,1973,Graduation,Married,79593.0,0,0,350,568,110,133,145,5,7,6,70,2,0,0
771,1967,Graduation,Together,54178.0,0,1,135,39,4,0,7,2,5,2,79,2,0,0
8996,1957,PhD,Married,,2,1,230,192,49,37,53,7,8,2,4,9,0,0
9235,1957,Graduation,Single,,1,1,7,8,2,0,1,1,2,0,45,7,0,0
5798,1973,Master,Together,,0,0,445,359,98,28,18,2,8,4,87,1,0,0
11178,1972,Master,Single,42394.0,1,0,15,10,0,1,4,1,3,0,69,7,0,0
2230,1970,PhD,Married,23626.0,1,0,27,14,0,0,0,3,3,1,84,5,0,0
7516,1983,Graduation,Married,30096.0,1,0,5,11,12,5,9,2,3,0,30,6,0,0
7247,1960,Graduation,Widow,47916.0,0,1,505,26,0,0,75,7,6,4,72,6,0,0
11100,1972,Graduation,Divorced,51813.0,1,1,51,7,0,1,2,2,3,0,37,7,0,0
4646,1951,2n Cycle,Married,78497.0,0,0,207,447,75,0,223,5,12,7,44,2,0,0
3037,1983,PhD,Married,50150.0,0,0,135,92,65,61,11,5,7,2,32,5,0,0
1473,1960,2n Cycle,Single,47823.0,0,1,53,5,2,1,10,2,3,0,0,8,0,0
1016,1959,PhD,Single,34554.0,0,1,41,6,2,0,5,2,3,0,43,6,0,0
4518,1979,Graduation,Together,85693.0,0,1,386,183,185,132,111,9,11,5,59,5,0,0
9370,1945,PhD,Married,65846.0,0,0,562,276,80,40,81,6,6,3,68,4,0,0
8908,1959,Graduation,Married,87195.0,0,0,217,690,50,26,38,3,5,11,35,1,1,0
8373,1979,Basic,Together,24594.0,1,0,1,6,10,0,9,1,3,0,94,5,0,0
7533,1964,Graduation,Married,49096.0,1,1,144,32,2,1,7,4,4,1,15,7,0,0
2683,1969,Graduation,Married,52413.0,0,2,295,271,75,98,65,6,12,4,56,6,0,0
3629,1978,Graduation,Single,38557.0,1,0,76,31,4,4,27,3,3,1,17,7,0,0
10991,1960,Master,Married,89058.0,0,0,454,106,31,22,43,5,4,4,18,2,0,0
5077,1979,Graduation,Together,77298.0,0,1,425,292,23,35,79,6,11,6,46,3,0,0
7431,1991,PhD,Single,68126.0,0,0,1332,311,23,51,86,7,5,4,40,9,1,0
3267,1963,Master,Together,57288.0,0,1,527,21,0,0,60,8,8,1,27,6,0,0
999,1991,Graduation,Single,86037.0,0,0,490,125,29,20,22,6,11,7,95,3,1,0
9215,1980,PhD,Married,43974.0,1,0,378,101,0,0,72,6,6,4,19,7,0,0
2286,1962,Graduation,Single,50785.0,1,1,64,21,0,1,27,2,3,1,27,6,0,0
1592,1970,Graduation,Married,90765.0,0,0,547,812,151,82,33,4,5,6,25,1,0,0
367,1978,2n Cycle,Married,36550.0,1,0,47,94,123,103,120,9,5,1,74,9,0,0
5234,1967,2n Cycle,Together,30753.0,1,1,12,25,0,9,30,1,3,1,85,5,0,0
9862,1969,Graduation,Together,21918.0,1,0,1,7,11,5,3,2,3,0,37,6,0,0
9805,1953,Master,Together,56129.0,0,1,320,133,39,72,48,6,10,2,65,4,0,0
6205,1967,Master,Single,32557.0,1,0,34,29,0,4,10,2,3,1,13,5,1,0
8442,1985,Master,Married,19510.0,2,0,9,7,3,4,7,1,3,0,63,7,0,0
7386,1976,Graduation,Divorced,30992.0,1,0,17,14,7,3,2,1,3,0,83,7,0,0
7215,1983,Graduation,Single,101970.0,0,0,722,102,44,72,168,6,13,8,69,2,1,0
1491,1965,2n Cycle,Together,71488.0,0,0,162,124,40,28,172,3,7,4,87,1,0,0
11071,1984,Graduation,Single,79607.0,0,0,450,951,173,0,216,3,6,6,37,1,1,0
3381,1953,Master,Married,54348.0,1,1,70,16,0,0,4,2,4,0,51,6,0,0
8268,1961,PhD,Married,,0,1,352,27,10,0,15,6,7,1,23,6,0,0
11051,1956,PhD,Together,77376.0,1,1,492,110,16,12,12,6,10,3,72,4,0,0
8026,1952,Graduation,Married,62998.0,0,1,120,73,65,89,58,5,5,4,10,5,0,0
433,1958,Master,Alone,61331.0,1,1,534,47,0,5,41,11,6,1,42,8,0,0
9597,1969,Graduation,Married,73448.0,0,0,236,189,23,41,130,7,9,2,10,4,0,0
1295,1963,Graduation,Married,,0,1,231,196,38,71,124,6,7,5,96,4,0,0
5290,1964,PhD,Married,41551.0,1,1,220,33,3,0,23,5,5,1,51,8,0,0
1685,1967,PhD,Together,62981.0,0,0,796,590,38,44,0,4,13,5,21,3,0,0
5342,1976,Basic,Divorced,9548.0,1,0,0,3,10,6,9,1,3,0,31,8,0,0
9579,1959,PhD,Married,33762.0,2,1,53,34,2,0,16,2,2,2,61,8,0,0
7660,1973,PhD,Alone,35860.0,1,1,15,8,4,2,20,1,2,1,37,5,1,0
1461,1965,PhD,Divorced,36921.0,1,1,17,12,3,1,4,2,3,0,74,7,0,0
821,1992,Master,Single,92859.0,0,0,962,921,52,61,20,5,12,4,46,2,0,0
11084,1976,Master,Together,65104.0,0,1,738,232,13,20,50,3,7,5,4,7,1,0
8690,1962,Graduation,Married,86111.0,0,0,399,756,36,40,126,5,10,7,73,2,0,0
2937,1974,PhD,Single,68352.0,0,1,614,132,43,33,33,8,9,5,47,6,0,0
9701,1988,Graduation,Together,41883.0,1,0,32,41,73,16,116,4,3,2,13,7,0,0
9949,1976,Graduation,Married,59809.0,0,2,598,141,32,41,49,3,6,3,36,8,0,0
10837,1975,Graduation,Married,23957.0,1,0,2,18,20,11,16,2,3,0,47,6,1,0
3120,1981,Graduation,Together,38547.0,1,0,6,10,0,1,4,1,2,0,49,8,0,1
5885,1973,2n Cycle,Married,35688.0,2,1,73,90,12,1,32,4,4,1,94,8,0,0
4050,1966,Master,Married,49605.0,0,0,42,29,12,20,8,2,4,1,65,3,0,0
3830,1953,Master,Married,59354.0,0,2,295,78,39,13,13,4,7,4,59,3,0,0
7987,1969,Graduation,Married,65747.0,0,1,346,48,23,13,13,8,6,1,96,6,0,0
7798,1972,2n Cycle,Together,46344.0,0,1,233,57,8,20,91,7,5,1,28,7,0,0
92,1988,Graduation,Alone,34176.0,1,0,5,24,19,14,20,3,4,0,12,6,0,0
7055,1952,PhD,Together,61010.0,0,1,888,57,0,0,76,8,11,5,57,5,0,0
10240,1949,Graduation,Together,69372.0,0,0,997,269,34,13,42,10,6,4,10,4,1,0
3025,1958,Graduation,Single,49967.0,0,1,212,69,4,12,3,6,5,1,4,7,0,0
9283,1978,Graduation,Single,60199.0,1,2,8,7,2,0,0,0,3,0,49,4,0,0
9970,1977,Graduation,Together,55375.0,0,1,42,57,10,28,14,1,6,1,3,2,0,0
2730,1955,Graduation,Single,80317.0,0,0,536,387,149,91,57,3,10,4,64,1,0,0
2795,1958,Master,Single,30523.0,2,1,5,3,0,0,5,1,2,0,0,7,0,0
9260,1945,PhD,Married,70356.0,0,0,1349,249,43,16,33,10,9,6,20,6,0,0
8182,1984,Graduation,Married,23228.0,1,0,53,49,7,4,5,3,4,0,91,8,0,0
10095,1975,PhD,Divorced,74165.0,0,0,1001,240,16,12,12,5,10,4,9,2,0,0
8475,1973,PhD,Married,157243.0,0,1,20,1582,1,2,1,0,0,22,98,0,0,0
4370,1966,Graduation,Together,43482.0,2,1,18,32,6,3,28,2,4,0,83,6,0,0
10573,1953,Graduation,Divorced,62551.0,0,0,125,98,134,21,27,6,4,7,27,3,0,0
3712,1959,Graduation,Divorced,52332.0,0,0,212,33,7,0,2,3,6,2,63,4,0,0
6637,1988,Graduation,Single,66951.0,0,0,277,305,173,76,124,3,7,4,46,1,0,0
3152,1957,Graduation,Together,26091.0,1,1,15,19,8,17,20,2,3,1,84,5,0,0
5610,1965,Graduation,Together,33456.0,1,1,7,10,8,1,7,1,3,0,58,7,0,0
6460,1982,Graduation,Married,28718.0,1,0,12,6,11,8,16,2,3,0,78,8,0,0
1349,1970,Graduation,Married,50447.0,2,0,85,24,2,3,27,3,3,1,4,6,0,0
1880,1959,PhD,Together,53537.0,1,1,81,6,0,0,6,2,3,1,17,5,0,0
641,1967,Graduation,Single,52074.0,0,1,59,12,0,0,48,2,2,2,77,4,0,0
8717,1975,PhD,Married,80427.0,0,1,1149,449,69,71,26,11,8,8,56,5,0,0
10314,1948,PhD,Married,83837.0,0,0,847,119,86,89,111,9,5,10,79,4,1,0
10854,1970,PhD,Married,38853.0,1,1,29,14,0,0,2,2,3,0,90,7,0,0
10492,1959,Graduation,Together,38285.0,2,1,2,5,2,0,1,0,3,0,96,2,0,0
6935,1951,2n Cycle,Married,78497.0,0,0,207,447,75,0,223,5,12,7,44,2,0,0
7698,1976,PhD,Married,51650.0,0,1,152,22,2,5,7,4,4,1,81,5,0,0
3559,1988,2n Cycle,Married,16248.0,1,0,12,10,3,12,9,2,3,1,77,6,0,0
10562,1946,Master,Married,66835.0,0,0,620,195,34,17,141,6,13,4,21,2,0,0
10796,1984,Master,Married,30477.0,1,0,47,6,0,0,12,1,3,1,16,6,0,0
2563,1961,Basic,Married,28249.0,0,0,1,7,2,14,10,2,3,0,80,6,0,0
3518,1983,Graduation,Married,25271.0,1,0,10,18,10,4,7,1,2,1,45,9,0,0
5823,1970,PhD,Single,32303.0,0,1,35,2,0,0,2,1,4,0,63,5,0,0
3934,1966,Graduation,Married,61286.0,0,1,356,107,19,9,117,7,8,1,34,5,0,0
6982,1976,Graduation,Married,74068.0,0,0,783,537,140,76,15,4,9,10,14,2,0,0
6431,1964,PhD,Married,45759.0,1,1,42,18,3,0,4,2,3,0,13,7,0,0
9733,1978,Basic,Together,24882.0,1,0,1,10,29,0,36,1,2,1,52,6,0,0
5602,1989,PhD,Together,66973.0,0,0,466,432,147,113,102,8,12,7,98,3,0,0
7829,1900,2n Cycle,Divorced,36640.0,1,0,15,8,7,4,25,2,2,1,99,5,0,1
1324,1988,Graduation,Married,38872.0,1,0,23,21,3,19,22,3,3,0,93,8,0,0
326,1973,Graduation,Married,51148.0,1,1,235,45,8,9,12,5,6,1,38,6,0,0
7224,1977,Graduation,Married,31353.0,1,1,10,10,3,1,7,1,2,1,24,8,0,0
6999,1980,Master,Married,69661.0,0,0,656,106,32,16,8,7,12,3,80,3,0,0
9938,1954,Graduation,Married,80067.0,0,0,519,813,27,173,51,4,6,6,82,2,0,0
6422,1954,Graduation,Married,86718.0,0,0,344,482,50,33,172,5,5,6,20,2,0,0
3182,1973,PhD,Single,46854.0,1,1,96,79,7,1,79,5,3,1,81,8,1,0
7300,1952,Graduation,Divorced,69142.0,0,1,448,34,6,4,39,8,7,1,50,5,0,0
10424,1968,Graduation,Single,75922.0,0,0,265,553,224,23,92,4,9,4,60,1,0,0
8727,1978,Graduation,Divorced,63693.0,0,1,587,337,42,87,54,11,9,6,63,6,0,0
2798,1977,PhD,Together,102160.0,0,0,763,138,76,176,58,7,10,9,54,4,1,0
1030,1965,PhD,Single,40637.0,1,1,22,13,0,0,3,1,3,0,72,7,0,0
624,1984,Master,Single,18890.0,0,0,6,1,7,2,15,0,2,1,5,6,1,0
5176,1988,Graduation,Together,29604.0,1,0,7,13,7,6,14,1,3,0,88,9,0,0
5552,1963,Master,Divorced,48721.0,1,1,81,113,47,13,21,4,5,2,50,6,0,0
868,1966,Graduation,Married,44794.0,0,1,54,7,0,0,4,2,3,0,99,6,0,0
380,1954,Graduation,Divorced,64497.0,0,1,1170,320,42,32,192,11,9,4,17,8,1,0
2677,1956,Graduation,Together,46097.0,0,1,72,68,65,4,8,3,6,1,11,4,0,0
6521,1954,Graduation,Together,77972.0,0,0,613,319,33,102,12,4,9,6,18,1,0,0
6927,1968,PhD,Married,44377.0,1,1,224,30,0,0,10,5,5,1,70,8,0,0
2877,1974,Master,Together,46014.0,1,1,410,59,19,9,44,7,8,1,21,7,0,0
0,1985,Graduation,Married,70951.0,0,0,239,554,254,87,54,3,9,4,66,1,0,0
1584,1977,Graduation,Married,41443.0,1,0,171,171,25,19,89,8,5,1,79,8,0,0
7264,1978,2n Cycle,Single,52195.0,2,1,12,4,0,0,1,1,2,0,2,8,0,0
6274,1948,Master,Married,83790.0,0,0,1076,417,42,48,16,8,6,10,81,3,0,0
1377,1954,Master,Widow,44551.0,0,1,182,33,0,0,66,4,5,1,24,7,0,0
454,1980,Graduation,Together,69508.0,1,0,824,162,42,32,43,11,11,4,48,6,0,0
1755,1988,2n Cycle,Together,45204.0,1,0,30,25,29,1,18,1,4,1,93,3,0,0
2075,1969,Graduation,Married,72460.0,0,0,377,540,80,30,10,3,7,5,56,1,0,0
4785,1970,PhD,Together,77622.0,0,2,520,154,19,0,14,6,11,3,3,3,0,0
9076,1980,PhD,Married,30732.0,1,0,155,25,0,1,3,4,4,1,44,8,0,0
7079,1962,Graduation,Divorced,63887.0,0,1,897,207,15,11,92,9,12,6,38,6,0,0
4653,1978,Graduation,Together,42011.0,1,0,131,16,2,1,39,3,4,1,46,8,0,0
7375,1976,Graduation,Together,51369.0,0,1,297,79,0,11,182,8,4,2,84,8,0,0
709,1952,Graduation,Divorced,51537.0,0,1,787,204,0,0,92,2,11,2,27,8,0,0
460,1972,PhD,Married,79930.0,0,0,792,740,67,51,17,3,8,5,72,2,0,0
3726,1986,PhD,Together,34320.0,1,0,4,9,3,0,0,1,2,0,66,8,0,0
6798,1966,Graduation,Single,37070.0,1,1,231,137,4,15,39,5,8,1,30,7,1,0
5341,1962,2n Cycle,Divorced,81975.0,0,1,983,184,180,138,27,6,4,3,2,7,0,0
1606,1971,Graduation,Together,38590.0,1,0,3,8,4,3,3,1,2,0,65,8,0,0
9617,1951,Graduation,Single,15033.0,0,0,0,5,6,0,4,1,3,0,37,3,0,0
3233,1965,PhD,Married,62745.0,0,1,562,464,28,10,32,7,11,8,89,5,0,0
89,1975,2n Cycle,Married,22212.0,1,0,5,20,6,8,21,2,4,0,49,6,0,0
2936,1982,Master,Together,23661.0,1,0,18,4,0,0,1,1,3,0,46,7,0,0
9449,1958,PhD,Single,79761.0,0,1,415,124,15,35,11,5,11,2,32,3,0,0
7297,1973,Graduation,Single,7500.0,1,0,5,10,12,7,20,3,3,1,54,7,0,0
11004,1893,2n Cycle,Single,60182.0,0,1,8,5,7,0,2,1,2,0,23,4,0,0
313,1968,Graduation,Widow,73455.0,0,0,901,757,186,163,20,6,10,5,98,3,0,0
9940,1958,Graduation,Together,64961.0,0,1,382,276,75,124,38,6,4,4,97,3,0,0
10735,1971,Graduation,Single,22804.0,1,0,14,7,2,1,1,2,2,0,75,9,0,0
9529,1990,Graduation,Married,73687.0,0,0,559,503,218,13,181,3,9,9,8,2,1,0
6439,1958,Graduation,Married,61074.0,0,1,789,133,0,28,152,11,8,5,37,7,0,0
7411,1964,PhD,Married,31686.0,1,1,11,5,0,0,1,1,3,0,31,6,0,0
2176,1972,Graduation,Married,80134.0,1,0,1218,272,104,0,80,5,6,3,40,6,1,0
9265,1953,Graduation,Married,75027.0,0,1,925,179,133,12,77,9,6,4,74,5,0,0
8867,1988,PhD,Married,67546.0,0,0,864,768,150,38,172,4,5,10,90,3,0,0
8932,1969,Master,Together,65176.0,0,1,960,183,220,70,70,9,6,6,57,6,0,0
10236,1975,Master,Single,31160.0,1,0,16,25,6,1,13,2,3,0,59,8,0,0
6340,1985,Graduation,Single,29938.0,1,0,3,7,0,2,11,1,3,0,52,6,0,0
10089,1974,Graduation,Divorced,102692.0,0,0,168,444,32,172,148,6,13,9,5,2,1,0
2227,1958,2n Cycle,Together,26490.0,0,0,45,52,21,20,25,3,5,1,92,6,0,0
10992,1967,Graduation,Together,75702.0,1,1,650,353,45,42,30,4,11,6,77,8,0,0
5304,1974,PhD,Single,30899.0,1,0,24,8,0,0,1,1,3,0,35,6,0,0
309,1961,PhD,Together,63342.0,0,1,918,118,13,10,21,8,5,3,48,6,0,0
3406,1964,Graduation,Single,45989.0,0,1,138,87,28,24,12,3,7,2,97,3,0,0
2661,1964,Graduation,Single,18701.0,1,1,12,2,10,6,10,2,4,0,95,5,0,0
3153,1957,PhD,Single,40737.0,2,1,11,4,0,0,2,1,2,0,24,8,0,0
10264,1979,Graduation,Divorced,15287.0,1,0,1,8,4,3,13,1,2,1,60,7,1,0
1184,1968,PhD,Divorced,69674.0,0,2,554,215,11,0,24,10,10,2,46,5,0,0
4200,1970,Master,Married,44159.0,1,0,167,62,24,13,7,4,6,1,85,5,0,0
9396,1978,PhD,Married,37717.0,1,0,9,6,4,1,5,1,2,0,31,9,0,0
2387,1952,Master,Together,43776.0,1,1,177,71,3,2,20,5,4,2,9,8,1,0
6690,1966,Master,Married,38179.0,1,1,38,22,4,2,20,3,3,1,30,7,0,0
1225,1963,Graduation,Married,80124.0,0,0,483,398,205,84,241,3,8,7,47,1,0,0
9703,1970,PhD,Married,38097.0,1,1,77,35,0,1,69,3,2,2,70,7,1,0
291,1970,Graduation,Married,72940.0,0,0,182,298,162,149,116,3,6,3,13,1,0,0
4557,1970,Graduation,Together,22070.0,1,0,10,19,8,2,21,2,2,2,11,6,0,0
2379,1953,Graduation,Single,69267.0,0,0,778,499,95,73,146,3,5,4,31,7,1,0
5726,1983,Master,Single,31788.0,1,0,16,23,0,8,6,3,4,0,15,5,0,1
3066,1975,PhD,Together,61905.0,0,1,167,43,6,2,13,4,4,2,2,5,0,0
6336,1960,Graduation,Married,29315.0,1,1,13,14,8,7,4,2,4,0,55,6,0,0
10967,1963,Graduation,Divorced,33378.0,1,1,33,40,3,7,10,2,4,0,38,7,0,0
2304,1963,PhD,Together,66313.0,0,1,625,99,10,22,7,6,12,3,86,4,0,0
3445,1956,Graduation,Single,60714.0,0,0,216,224,101,92,162,7,10,4,56,5,1,0
7828,1981,Master,Together,77882.0,0,0,68,396,188,22,15,3,5,3,29,1,0,0
3762,1986,PhD,Single,69867.0,0,0,196,512,33,130,54,3,8,5,30,1,1,0
4391,1968,Master,Divorced,63841.0,0,1,635,100,20,7,131,9,9,3,64,6,0,0
4669,1981,Basic,Married,24480.0,1,0,4,9,28,25,17,3,4,0,46,7,0,0
10144,1976,Graduation,Together,51369.0,0,1,297,79,0,11,182,8,4,2,84,8,0,0
8652,1946,Graduation,Together,37760.0,0,0,84,38,150,12,28,4,6,1,20,7,0,0
1672,1974,PhD,Together,65640.0,0,1,204,149,20,15,66,5,8,1,74,2,0,0
8962,1975,Master,Married,44319.0,1,1,26,8,0,0,3,2,3,0,18,5,0,0
9974,1974,Graduation,Married,30631.0,1,0,15,20,4,5,20,3,2,1,75,7,0,0
10983,1952,Graduation,Together,75278.0,0,0,304,230,150,74,74,6,13,3,17,3,0,0
8148,1956,Master,Together,50898.0,1,1,285,242,55,114,135,6,12,2,88,5,0,0
10102,1966,Graduation,Widow,79946.0,0,0,395,565,166,141,28,5,5,11,19,3,0,0
4697,1949,Master,Divorced,35416.0,0,0,248,81,4,3,51,7,5,1,62,8,0,0
9262,1984,2n Cycle,Together,32414.0,0,0,20,5,0,9,12,1,3,0,11,7,0,0
7254,1969,Graduation,Together,38361.0,1,0,39,56,20,8,14,3,3,1,74,7,0,0
4543,1980,Graduation,Married,82497.0,0,0,777,573,216,21,203,2,9,7,32,4,0,0
4927,1971,Graduation,Together,16626.0,2,0,8,22,21,1,13,3,3,0,76,9,0,0
